City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
Hobart,-42.88,147.33,60.8,51,16.11,0,AU,1601635838
Lavrentiya,65.58,-171.0,40.46,94,10.16,100,RU,1601636119
Rikitea,-23.12,-134.97,72.54,81,19.13,0,PF,1601636121
Ullapool,57.9,-5.16,54.0,76,11.99,92,GB,1601636121
Hithadhoo,-0.6,73.08,84.24,65,5.35,80,MV,1601636122
Butaritari,3.07,172.79,80.38,69,15.95,5,KI,1601636123
Tuktoyaktuk,69.45,-133.04,36.88,95,4.56,91,CA,1601636123
Atuona,-9.8,-139.03,78.35,74,24.0,5,PF,1601636124
Punta Arenas,-53.15,-70.92,30.2,63,11.41,40,CL,1601635864
Fort-Shevchenko,44.51,50.26,70.88,29,11.86,2,KZ,1601636125
Tual,-5.67,132.75,81.21,76,21.99,61,ID,1601636127
Cape Town,-33.93,18.42,66.2,52,18.34,40,ZA,1601635945
Yellowknife,62.46,-114.35,37.99,93,3.36,75,CA,1601635983
Bloemfontein,-29.12,26.21,66.2,52,20.8,75,ZA,1601635973
Longyearbyen,78.22,15.64,32.0,92,8.05,75,SJ,1601636130
Hambantota,6.12,81.12,89.6,66,21.92,20,LK,1601636131
Havre-St-Pierre,50.23,-63.6,41.0,100,4.7,75,CA,1601636132
Laas,46.62,10.7,57.0,100,16.11,75,IT,1601636132
Morgan City,29.7,-91.21,60.8,72,5.82,1,US,1601636133
Tasiilaq,65.61,-37.64,37.4,69,29.97,75,GL,1601636134
Chokurdakh,70.63,147.92,27.84,99,5.23,100,RU,1601636134
Sampit,-2.53,112.95,80.4,81,4.85,61,ID,1601636135
Port Macquarie,-31.43,152.92,57.99,90,5.68,0,AU,1601636136
Atambua,-9.11,124.89,75.45,78,3.62,43,ID,1601636137
Batī,11.18,40.02,79.79,38,5.37,58,ET,1601636138
Mataura,-46.19,168.86,54.0,77,1.01,82,NZ,1601636139
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,100,4.47,76,RU,1601636140
Esperance,-33.87,121.9,53.6,100,8.05,90,AU,1601636140
Saint-Philippe,-21.36,55.77,77.0,73,9.17,90,RE,1601636141
Imbituba,-28.24,-48.67,75.2,78,14.99,1,BR,1601636142
College,64.86,-147.8,53.6,64,10.29,75,US,1601636143
Tuy Hoa,13.08,109.3,81.95,79,5.79,89,VN,1601636144
Port Alfred,-33.59,26.89,60.98,72,25.17,93,ZA,1601636144
Tura,25.52,90.22,81.14,84,0.83,98,IN,1601636145
Vao,-22.67,167.48,69.55,77,19.46,0,NC,1601636146
Ushuaia,-54.8,-68.3,32.0,90,27.51,75,AR,1601636089
Muroto-misakicho,33.28,134.15,73.4,73,3.36,75,JP,1601636147
Saint Paul Harbor,57.79,-152.41,51.8,87,25.28,90,US,1601636148
Rocha,-34.48,-54.33,51.13,70,15.97,0,UY,1601636149
Upernavik,72.79,-56.15,24.19,89,7.92,79,GL,1601636150
Teknāf,20.86,92.31,84.09,82,7.31,31,BD,1601636151
Bengkulu,-3.8,102.27,77.72,83,2.04,55,ID,1601636151
Egvekinot,66.32,-179.17,32.79,92,26.6,100,RU,1601636152
Gizo Government Station,-8.1,156.84,82.11,75,7.78,10,SB,1601636153
Angoche,-16.23,39.91,83.37,61,12.3,25,MZ,1601636154
Tuatapere,-46.13,167.68,54.0,77,1.01,81,NZ,1601636156
Clyde River,70.47,-68.59,28.4,92,16.11,90,CA,1601636156
Ugoofaaru,5.67,73.0,82.54,75,11.92,30,MV,1601636158
Beckley,37.78,-81.19,41.0,86,3.36,1,US,1601636158
Port Elizabeth,-33.92,25.57,62.6,63,18.34,75,ZA,1601636159
Prattville,32.46,-86.46,55.4,76,6.53,1,US,1601636160
Quesnel,53.0,-122.5,50.0,100,2.24,90,CA,1601636161
Coburg,50.27,10.97,66.0,63,3.0,99,DE,1601636162
Busselton,-33.65,115.33,51.01,49,12.77,3,AU,1601636164
Nyurba,63.28,118.33,28.89,90,5.53,38,RU,1601636165
Barrow,71.29,-156.79,33.8,95,12.75,90,US,1601636165
Sitka,57.05,-135.33,57.2,82,12.75,90,US,1601636067
Nhulunbuy,-12.23,136.77,78.8,65,9.17,3,AU,1601636167
Wukari,7.85,9.78,76.42,87,3.4,98,NG,1601636167
Dikson,73.51,80.55,35.46,82,22.3,100,RU,1601636168
Aksu,41.12,80.26,68.58,22,8.05,100,CN,1601636169
Puerto Ayora,-0.74,-90.35,66.99,88,8.01,88,EC,1601636170
Bethel,41.37,-73.41,55.4,87,6.38,90,US,1601636171
Coquimbo,-29.95,-71.34,46.4,87,3.36,2,CL,1601636172
Lorengau,-2.02,147.27,79.38,82,9.71,100,PG,1601636173
Geraldton,-28.77,114.6,60.8,63,16.11,90,AU,1601636173
